,file_name,lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,last_fixes,fixes_percent
828,drivers/gpu/drm/omapdrm/dss/sdi.c,349,8,49,1306464739.0,1559519090.0,1419470102.7765043,57,2bc5ff0bdc00,1.7543859649122806
829,drivers/clk/qcom/mmcc-msm8996.c,3379,8,12,1448875902.0,1559085476.0,1449819520.309263,15,53f3abe97b24,13.333333333333334
830,drivers/mtd/maps/intel_vr_nor.c,265,9,11,1311247043.0,1578275030.0,1317188695.2301886,15,,0.0
831,arch/arm/mm/alignment.c,1049,16,31,1308973446.0,1580722637.0,1331029662.603432,35,67e15fa5b487,2.857142857142857
832,drivers/watchdog/bcm63xx_wdt.c,315,11,13,1311247043.0,1578275030.0,1317046021.936508,17,,0.0
833,drivers/pci/pci-stub.c,95,5,7,1311247043.0,1555715026.0,1332722074.505263,7,,0.0
834,drivers/clk/meson/g12a-aoclk.c,473,2,2,1549963739.0,1564051283.0,1551452908.5560253,2,,0.0
835,drivers/net/ethernet/intel/ixgbe/ixgbe_main.c,11582,124,577,1303773968.0,1576570847.0,1387570838.1849196,745,f39b683d35df,4.026845637583892
836,net/can/proc.c,503,8,14,1311247043.0,1563866275.0,1380909085.3379722,24,,0.0
837,drivers/platform/x86/intel_bxtwc_tmu.c,147,4,4,1478491907.0,1564456554.0,1480232205.5986395,5,,0.0
838,drivers/ps3/ps3-sys-manager.c,756,4,4,1311247043.0,1558918515.0,1311865829.4550264,3,,0.0
839,arch/s390/pci/pci_irq.c,486,1,7,1487067189.0,1568101504.0,1542701664.3024693,8,,0.0
840,sound/core/seq/seq_prioq.c,436,3,5,1311247043.0,1558918505.0,1319721139.2431192,4,,0.0
841,drivers/nvdimm/btt_devs.c,367,8,22,1434687514.0,1573041401.0,1463615012.4087193,24,452bae0aede7,4.166666666666666
842,arch/mips/mm/page.c,678,11,13,1311247043.0,1571582593.0,1322045153.640118,17,,0.0
843,drivers/spi/spi-npcm-pspi.c,489,6,10,1542019352.0,1579083781.0,1544242668.797546,13,428f977a6a6b,23.076923076923077
844,arch/mips/cobalt/serial.c,73,2,2,1311247043.0,1558252291.0,1314630676.5342467,1,,0.0
845,arch/powerpc/kernel/io.c,206,4,4,1311247043.0,1558918501.0,1313361641.6504855,3,,0.0
846,drivers/crypto/rockchip/rk3288_crypto_ahash.c,402,3,4,1455588901.0,1559354917.0,1463008534.4303482,6,4359669a0876,16.666666666666664
