file_name,lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,last_fixes,fixes_percent
net/netfilter/xt_cgroup.c,219,8,11,1388312832,1559614293,1468349869,13,ba7cd5d95f25,15.38461538
drivers/net/ethernet/intel/ixgbe/ixgbe_ipsec.c,1296,9,31,1513670394,1567564750,1519826931,34,92924064106e,20.58823529
arch/powerpc/sysdev/mpic_u3msi.c,200,7,9,1311247043,1559354935,1327863113,9,e297c939b745,11.11111111
drivers/clk/sunxi-ng/ccu-suniv-f1c100s.c,551,4,4,1543764227,1556878126,1544253828,4,6630aad719bc,25.0
drivers/misc/lkdtm/usercopy.c,354,5,11,1466901983,1554511931,1476232257,4,2bf8496f6e9b,25.0
net/ipv4/ip_forward.c,175,14,22,1311247043,1568687989,1357238782,35,77d5bc7e6a6c,20.0
net/ipv4/inet_connection_sock.c,1125,30,95,1311247043,1583898266,1398977969,131,06669ea346e4,22.13740458
tools/testing/selftests/bpf/progs/loop1.c,29,3,3,1560571944,1579500405,1561955349,4,3e689141e64d,25.0
arch/arm/mach-omap2/prm_common.c,817,14,45,1324017418,1559614293,1372548406,60,0527873b29b0,1.6666666669999999
drivers/usb/gadget/function/f_rndis.c,1030,24,38,1307354793,1575387296,1333709144,18,ff74745e6d3d,5.555555556
sound/soc/codecs/rt711-sdw.c,552,3,3,1577425485,1580128110,1577441235,3,973649d38e26,66.66666667
drivers/hid/hid-gfrm.c,148,4,4,1445793358,1558918501,1447101867,5,e60e063c14b1,40.0
drivers/gpu/drm/etnaviv/etnaviv_gem_prime.c,142,6,13,1449138089,1561850463,1459615251,16,9e05352340d3,6.25
tools/perf/util/env.c,396,8,29,1441690200,1583119383,1524303763,30,2db7b1e0bd49,6.666666667
net/ipv6/xfrm6_tunnel.c,402,14,15,1311247043,1558252303,1325603026,17,dbb2483b2a46,23.52941176
drivers/iommu/iommu-debugfs.c,51,2,2,1528792881,1550642705,1530506593,2,18b3af4492a0,50.0
drivers/net/wireguard/allowedips.c,377,3,3,1575822454,1580825845,1575837308,3,9981159fc3b6,33.33333333
