lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,fixes_percent
1058,9,17,1432015830,1574398314,1467466550,20,15
56,3,3,1311247043,1558581279,1319764375,4,0
199,9,12,1428997497,1575107845,1442290122,18,5.555555556
518,3,5,1542251727,1572877614,1542834866,5,20
3036,32,70,1320138256,1575526797,1342196046,96,2.083333333
78,5,7,1526901750,1557902452,1539146395,7,42.85714286
174,4,4,1401955616,1558918501,1403910178,5,0
497,2,23,1568874336,1579067701,1569449358,25,0
2799,11,40,1306480715,1560328015,1313235273,8,0
4381,84,381,1429520121,1580106910,1503562868,627,1.435406699
596,8,8,1311247043,1575941031,1315015602,7,0
1199,23,38,1311247043,1575894781,1328564576,45,2.222222222
2339,36,159,1372069885,1578641102,1476913620,241,3.319502075
12,1,1,1529457075,1529457075,1529457075,1,0
414,4,5,1491286098,1580393773,1510692005,5,0
170,5,6,1331438374,1509520077,1338055012,9,0
503,3,8,1526849667,1555217707,1527773134,1,0
876,16,17,1306881908,1573746204,1313567063,19,5.263157895
341,2,3,1497925060,1509520077,1502979444,1,0
677,20,33,1378782421,1575422679,1395649948,38,0
44,3,3,1311247043,1509963111,1354357461,4,0
1150,22,73,1308043785,1565580000,1417286920,89,2.247191011
166,6,12,1497411434,1578694321,1512700305,13,53.84615385
77,2,3,1573190539,1578235246,1573649150,3,0
535,3,5,1358845439,1559614293,1360105384,7,0
1106,24,65,1304327530,1558918505,1345032066,90,2.222222222
558,9,16,1491365037,1556635173,1493493610,17,17.64705882
556,15,33,1310991003,1554179518,1347547438,48,0
79,2,6,1569557329,1574819817,1570976682,6,16.66666667
55,2,2,1336521568,1545928306,1340328963,2,0
54,5,5,1311247043,1559614293,1320615083,8,12.5
9,1,3,1500369329,1560421504,1512549269,3,0
205,3,3,1449656908,1559354940,1450265236,3,0
2487,22,82,1306950372,1571288497,1361179728,102,4.901960784
1322,21,74,1306881908,1575870318,1369940540,92,14.13043478
633,6,8,1311247043,1580722637,1322154584,10,10
426,6,10,1311247043,1558918501,1318068160,9,0
251,3,6,1560289146,1575530683,1560615887,7,0
129,7,9,1426488523,1578275030,1469116128,12,0
834,27,46,1311247043,1579070611,1394088256,60,11.66666667
1027,13,43,1407395668,1564104037,1438077367,55,7.272727273
929,33,75,1311247043,1572584593,1432098835,119,2.521008403
98,1,3,1544511002,1560854416,1544905429,2,0
166,5,6,1311247043,1536637326,1317342012,5,0
239,9,11,1311247043,1558918501,1332693350,16,0
409,6,14,1339951646,1526474820,1370661023,20,0
181,8,13,1452045401,1561702924,1465910018,19,10.52631579
2821,70,297,1306881908,1578527961,1384292768,433,12.70207852
1042,4,7,1490272722,1570958493,1490812822,8,12.5
789,10,15,1449110580,1559614293,1451363422,16,12.5
739,1,3,1577433328,1582548132,1577464503,3,66.66666667
76,1,1,1557888434,1557888434,1557888434,1,0
50,3,3,1311247043,1559614293,1318117452,2,0
173,2,5,1490969168,1563770229,1517032843,8,0
462,12,18,1306966284,1558670649,1370672398,26,0
37,4,4,1352940559,1558918501,1363111544,5,20
1479,7,12,1311247043,1528783420,1320550013,11,0
2378,16,120,1548935186,1581561745,1562856767,143,2.797202797
1762,10,51,1486667973,1574613574,1504700218,60,13.33333333
25,1,1,1506586495,1506586495,1506586495,1,0
4,1,1,1311247043,1311247043,1311247043,0,0
754,14,23,1311247043,1579745473,1353283661,29,0
1398,8,18,1488780182,1560096471,1495047775,21,0
856,18,39,1306899084,1578988960,1350411625,51,7.843137255
123,10,11,1310374312,1551919282,1343576733,10,10
352,7,9,1310374312,1559614293,1317465091,10,0
687,32,61,1311247043,1565162551,1370344030,67,5.970149254
43,6,7,1301473811,1538616103,1399235313,8,0
2986,13,43,1349436662,1559614293,1377289994,51,7.843137255
216,10,25,1311247043,1559614293,1343255030,14,0
271,1,1,1563265786,1563265786,1563265786,1,0
1168,26,42,1310701654,1558918501,1377458290,46,10.86956522
173,8,8,1308572746,1565750798,1329368170,12,0
675,5,5,1311247043,1580393500,1313302460,4,0
37,3,5,1505230640,1566970576,1514608075,7,71.42857143
919,14,16,1311247043,1558918501,1320277277,11,9.090909091
513,5,22,1534922400,1567128979,1541684046,27,11.11111111
551,9,11,1311247043,1529428545,1316565801,11,0
1457,22,93,1337486354,1558918505,1386345174,113,0
89,4,4,1311247043,1559236165,1318264831,3,0
439,7,23,1363321806,1579960184,1435074410,29,10.34482759
328,14,30,1324610454,1578126055,1380394488,49,2.040816327
290,10,11,1305725404,1559614293,1324671923,13,0
391,9,10,1341389472,1517171416,1359541522,19,0
7789,46,406,1296049377,1577948457,1349485427,562,0.711743772
30,2,2,1465747010,1536257059,1468097345,3,0
270,2,2,1311247043,1545928306,1312116233,1,0
8527,23,31,1311247043,1558531909,1313795139,34,0
52,6,7,1311247043,1509520077,1326905000,7,0
667,3,4,1561532907,1575702215,1561636030,5,0
14,2,2,1353494049,1450280970,1360407401,2,0
5142,47,121,1302853919,1575116892,1355168659,152,2.631578947
575,15,26,1311247043,1570013938,1383681328,22,4.545454545
330,1,3,1572335234,1573627822,1572374403,3,33.33333333
1337,15,23,1311247043,1564468624,1317236241,26,3.846153846
216,2,2,1317791943,1318423871,1317809497,1,0
134,8,8,1341975417,1559614293,1357058769,10,0
1045,7,8,1363758614,1571889438,1369704859,8,0
14,3,5,1376909973,1549855466,1409533553,5,0
1253,9,31,1504689355,1583823902,1519265863,34,11.76470588
34,2,2,1432610160,1558918521,1436325112,2,0
240,11,42,1311247043,1572247062,1392782053,66,3.03030303
66,4,5,1531204984,1578622756,1533735011,5,20
